combo_id,batch,ngram,filter_size,dropout,activation,f1_macro,f1_macro_std,f1_weighted,accuracy,precision,recall
7,A,"[1, 2, 3]",256,0.3,relu,0.8515,0.0125,0.8546,0.8541,0.8512,0.8552
107,B,"[2, 3, 4]",256,0.3,relu,0.8469,0.0126,0.8506,0.8509,0.8479,0.8494
101,B,"[2, 3, 4]",128,0.3,relu,0.8466,0.0116,0.8502,0.8496,0.846,0.849
110,B,"[2, 3, 4]",256,0.5,relu,0.8457,0.0114,0.8493,0.8489,0.8452,0.8478
10,A,"[1, 2, 3]",256,0.5,relu,0.8447,0.0113,0.8483,0.8481,0.8447,0.8468
11,A,"[1, 2, 3]",256,0.5,gelu,0.8444,0.0115,0.8478,0.847,0.8457,0.8479
6,A,"[1, 2, 3]",128,0.5,elu,0.8439,0.0125,0.848,0.8483,0.8449,0.8456
111,B,"[2, 3, 4]",256,0.5,gelu,0.8436,0.0165,0.8471,0.8462,0.845,0.8462
4,A,"[1, 2, 3]",128,0.5,relu,0.8435,0.0148,0.8471,0.8468,0.843,0.8453
106,B,"[2, 3, 4]",128,0.5,elu,0.8431,0.0175,0.8469,0.8466,0.8449,0.8457
