combo_id,lr_bert,lr_cnn,batch_size,weight_decay,f1_macro,f1_macro_std,f1_weighted,accuracy,precision,recall
10,3e-05,0.0001,32,0.01,0.8492,0.0041,0.8525,0.8529,0.8513,0.8515
6,2e-05,0.0001,32,0.01,0.8473,0.007,0.8507,0.8505,0.8473,0.8494
2,1e-05,0.0001,32,0.01,0.8466,0.0118,0.8503,0.8506,0.8472,0.8475
4,1e-05,0.001,32,0.01,0.8453,0.0087,0.8484,0.8482,0.8478,0.8489
8,2e-05,0.001,32,0.01,0.8425,0.0099,0.8461,0.8459,0.8432,0.8448
3,1e-05,0.001,16,0.01,0.8411,0.0053,0.8447,0.844,0.8421,0.8444
1,1e-05,0.0001,16,0.01,0.8397,0.0132,0.8434,0.8429,0.8391,0.8418
12,3e-05,0.001,32,0.01,0.8363,0.0208,0.84,0.8399,0.837,0.8374
11,3e-05,0.001,16,0.01,0.8358,0.0103,0.8398,0.8403,0.8409,0.8374
7,2e-05,0.001,16,0.01,0.8343,0.0032,0.8378,0.8369,0.8372,0.8382
