fold,epoch,train_loss,val_loss,train_f1,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted,is_best_epoch
1,1,0.7379,0.4207,0.6563,0.8222,0.817,0.8204,0.8179,0.8225,False
1,2,0.3914,0.3824,0.8442,0.8523,0.8484,0.8529,0.8491,0.8526,True
1,3,0.2611,0.3929,0.9022,0.8561,0.8542,0.8587,0.8549,0.857,False
1,4,0.1642,0.4284,0.9438,0.8589,0.8549,0.8592,0.8562,0.8592,False
1,5,0.0937,0.614,0.9682,0.8354,0.8325,0.8329,0.8326,0.8357,False
2,1,0.6986,0.4235,0.6925,0.8429,0.8411,0.8439,0.8412,0.8442,False
2,2,0.3942,0.3901,0.8479,0.8438,0.8398,0.8405,0.8399,0.8445,True
2,3,0.2603,0.392,0.9025,0.8551,0.8508,0.8538,0.8519,0.8552,False
2,4,0.1487,0.4945,0.9483,0.8382,0.8368,0.8293,0.83,0.8352,False
2,5,0.0818,0.591,0.9736,0.8438,0.8398,0.8416,0.8404,0.8445,False
3,1,0.705,0.4322,0.6775,0.8363,0.8397,0.8269,0.8257,0.8318,False
3,2,0.3941,0.3693,0.8454,0.8664,0.8647,0.8647,0.8639,0.8668,True
3,3,0.2614,0.3717,0.9097,0.8636,0.8587,0.861,0.859,0.8636,False
3,4,0.1592,0.4591,0.9427,0.8551,0.8521,0.8488,0.8502,0.8547,False
3,5,0.0878,0.5265,0.9707,0.8542,0.8507,0.8497,0.8501,0.8541,False
4,1,0.7166,0.4424,0.6701,0.823,0.8193,0.8185,0.8184,0.8221,False
4,2,0.3882,0.4062,0.8537,0.8427,0.8403,0.8448,0.8408,0.8438,True
4,3,0.2512,0.4363,0.9045,0.8258,0.8233,0.8265,0.8236,0.827,False
4,4,0.1656,0.535,0.9427,0.8315,0.8292,0.825,0.825,0.8292,False
4,5,0.0954,0.6058,0.9687,0.8324,0.8294,0.8341,0.8302,0.8331,False
5,1,0.702,0.4783,0.6921,0.8211,0.8223,0.8257,0.8194,0.8225,False
5,2,0.3706,0.4317,0.8553,0.8371,0.8323,0.8343,0.8331,0.8378,True
5,3,0.2518,0.5387,0.9054,0.8296,0.8269,0.8216,0.8234,0.8283,False
5,4,0.1482,0.6524,0.9444,0.8202,0.8245,0.8089,0.8127,0.8173,False
5,5,0.084,0.7175,0.9689,0.8192,0.8167,0.8169,0.8158,0.8203,False
