model,fold,fit_time_sec,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted,f1_positive,f1_negative,f1_neutral
SVM,1,0.08,0.8184,0.8137,0.8167,0.8147,0.8188,0.8466,0.848,0.7496
SVM,2,0.08,0.8128,0.808,0.8112,0.8083,0.8127,0.8437,0.8385,0.7427
SVM,3,0.08,0.8137,0.8088,0.811,0.8094,0.8148,0.8589,0.8178,0.7516
SVM,4,0.07,0.7976,0.792,0.7949,0.7925,0.7972,0.8305,0.8269,0.7201
SVM,5,0.07,0.7919,0.7864,0.7886,0.7868,0.7926,0.8399,0.7971,0.7235
LogisticRegression,1,0.18,0.8137,0.8106,0.8151,0.8107,0.8143,0.8376,0.8426,0.752
LogisticRegression,2,0.18,0.81,0.8088,0.811,0.8061,0.8106,0.8443,0.8269,0.7472
LogisticRegression,3,0.18,0.8175,0.8138,0.8173,0.8143,0.8186,0.8525,0.828,0.7625
LogisticRegression,4,0.18,0.8041,0.802,0.8062,0.8012,0.804,0.8214,0.8317,0.7504
LogisticRegression,5,0.19,0.7872,0.7832,0.7852,0.7821,0.7883,0.8384,0.7961,0.7118
RandomForest,1,6.97,0.7865,0.7833,0.7865,0.7824,0.7866,0.8162,0.8106,0.7205
RandomForest,2,7.34,0.7723,0.7689,0.7709,0.7662,0.7718,0.8117,0.8027,0.6843
RandomForest,3,7.29,0.7902,0.7855,0.7877,0.7855,0.7913,0.8408,0.7862,0.7296
RandomForest,4,7.2,0.7608,0.7598,0.7602,0.7558,0.761,0.8015,0.7751,0.6909
RandomForest,5,7.22,0.7693,0.7656,0.766,0.7629,0.7692,0.8195,0.7802,0.689
