combo_id,batch,ngram,filter_size,dropout,activation,combo_label,accuracy,precision,recall,f1_macro,f1_weighted,accuracy_std,precision_std,recall_std,f1_macro_std,f1_weighted_std
101,B,"[2, 3, 4]",128,0.3,relu,"ng=[2, 3, 4]_f=128_dr=0.3_relu",0.8441,0.8451,0.8473,0.8427,0.8459,0.0138,0.0128,0.0134,0.0135,0.0136
102,B,"[2, 3, 4]",128,0.3,gelu,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",0.8453,0.8445,0.8471,0.8435,0.8466,0.0108,0.013,0.0128,0.0115,0.0113
103,B,"[2, 3, 4]",128,0.3,elu,"ng=[2, 3, 4]_f=128_dr=0.3_elu",0.843,0.8413,0.8439,0.841,0.8443,0.0135,0.0141,0.0141,0.0138,0.0137
104,B,"[2, 3, 4]",128,0.5,relu,"ng=[2, 3, 4]_f=128_dr=0.5_relu",0.8426,0.8401,0.8431,0.8399,0.8431,0.0193,0.0196,0.0195,0.0194,0.0194
105,B,"[2, 3, 4]",128,0.5,gelu,"ng=[2, 3, 4]_f=128_dr=0.5_gelu",0.84,0.8387,0.838,0.8368,0.8406,0.0143,0.0135,0.0181,0.0157,0.0154
106,B,"[2, 3, 4]",128,0.5,elu,"ng=[2, 3, 4]_f=128_dr=0.5_elu",0.8447,0.8422,0.8431,0.8409,0.8447,0.0135,0.0129,0.0165,0.0149,0.0146
107,B,"[2, 3, 4]",256,0.3,relu,"ng=[2, 3, 4]_f=256_dr=0.3_relu",0.8447,0.8416,0.8413,0.8408,0.8447,0.0121,0.0118,0.0119,0.0118,0.0119
108,B,"[2, 3, 4]",256,0.3,gelu,"ng=[2, 3, 4]_f=256_dr=0.3_gelu",0.8466,0.8445,0.8438,0.8425,0.8462,0.0198,0.0191,0.0216,0.0207,0.0202
109,B,"[2, 3, 4]",256,0.3,elu,"ng=[2, 3, 4]_f=256_dr=0.3_elu",0.8473,0.846,0.8488,0.8449,0.8482,0.0116,0.0132,0.0139,0.0128,0.0124
110,B,"[2, 3, 4]",256,0.5,relu,"ng=[2, 3, 4]_f=256_dr=0.5_relu",0.8464,0.8432,0.8462,0.8434,0.847,0.0123,0.0128,0.0137,0.0124,0.0125
111,B,"[2, 3, 4]",256,0.5,gelu,"ng=[2, 3, 4]_f=256_dr=0.5_gelu",0.8453,0.8445,0.8481,0.8432,0.8462,0.0155,0.0133,0.0136,0.0147,0.015
112,B,"[2, 3, 4]",256,0.5,elu,"ng=[2, 3, 4]_f=256_dr=0.5_elu",0.8404,0.8403,0.8405,0.8381,0.8418,0.0214,0.0175,0.0196,0.0207,0.0204
